"item_identifier","item_weight","item_fat_content","item_visibility","item_type","item_mrp","outlet_identifier","outlet_establishment_year","outlet_size","outlet_location_type","outlet_type","item_outlet_sales","outlet_age","price_category"
"FDV11",9.1,"regular",0.081794766,"Breads",173.2054,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",3151.8972,24,"High"
"FDD17",7.5,"low fat",0.032677678,"Frozen Foods",239.0906,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5942.265,27,"Premium"
"FDZ16",16.85,"regular",0.160760054,"Frozen Foods",192.4478,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",4843.695,19,"High"
"FDZ46",7.485,"low fat",0.06911065,"Snack Foods",109.0228,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2542.0244,22,"Medium"
"DRA12",11.6,"low fat",0.041177505,"Soft Drinks",140.3154,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2552.6772,19,"High"
"FDY58",11.65,"low fat",0.040081193,"Snack Foods",227.0694,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1141.847,17,"Premium"
"NCF19",13,"low fat",0.035307322,"Household",47.5034,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",680.4476,19,"Low"
"DRJ13",12.65,"low fat",0.063017847,"Soft Drinks",159.0578,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2085.9514,24,"High"
"FDB14",20.25,"regular",0.171938781,"Canned",92.512,"OUT010",1998,"Unknown","Tier 3","Grocery Store",186.424,28,"Medium"
"FDJ38",8.6,"regular",0.040197932,"Canned",190.153,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3036.048,22,"High"
"FDW11",12.6,"low fat",0.049058014,"Breads",62.7194,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",866.8716,19,"Low"
"FDL40",17.7,"low fat",0.01161096,"Frozen Foods",95.041,"OUT035",2004,"Small","Tier 2","Supermarket Type1",868.869,22,"Medium"
"DRI49",14.15,"low fat",0.183507295,"Soft Drinks",82.4276,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1137.1864,29,"Medium"
"FDV38",19.25,"low fat",0.102349519,"Dairy",52.7956,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",928.1252,19,"Low"
"DRG23",8.88,"low fat",0.086708987,"Hard Drinks",151.7682,"OUT013",1987,"High","Tier 3","Supermarket Type1",762.341,39,"High"
"NCP30",20.5,"low fat",0.032835147,"Household",40.2822,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",707.0796,24,"Low"
"FDY25",12,"low fat",0.033809913,"Canned",180.5976,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",7968.2944,41,"High"
"NCH54",13.5,"low fat",0.07266912,"Household",160.292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1438.128,29,"High"
"NCR53",12.15,"low fat",0.144338493,"Health and Hygiene",224.4404,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6976.2524,41,"Premium"
"FDS52",8.89,"low fat",0.009163216,"Frozen Foods",101.7016,"OUT010",1998,"Unknown","Tier 3","Grocery Store",101.2016,28,"Medium"
"FDG02",7.855,"low fat",0.011307038,"Canned",188.5188,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",952.094,17,"High"
"NCO26",7.235,"low fat",0.076855628,"Household",116.0492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1969.4364,29,"Medium"
"FDH35",18.25,"low fat",0.059956876,"Starchy Foods",165.4526,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5262.4832,41,"High"
"FDB51",6.92,"low fat",0.038532062,"Dairy",60.5852,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1314.2892,24,"Low"
"FDX44",9.3,"low fat",0.043209581,"Fruits and Vegetables",90.8172,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",535.3032,19,"Medium"
"NCN07",18.5,"low fat",0.056816465,"Others",132.1284,"OUT010",1998,"Unknown","Tier 3","Grocery Store",263.6568,28,"Medium"
"NCC31",8.02,"low fat",0.019866705,"Household",154.5972,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1402.1748,22,"High"
"NCX54",9.195,"low fat",0.048331717,"Household",105.1622,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1693.7952,19,"Medium"
"NCO55",12.8,"low fat",0.091221855,"Others",105.5938,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2143.876,24,"Medium"
"NCC30",16.6,"low fat",0.027622076,"Household",177.6344,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2676.516,27,"High"
"FDI16",14,"regular",0.135775701,"Frozen Foods",53.064,"OUT035",2004,"Small","Tier 2","Supermarket Type1",905.488,22,"Low"
"FDP16",18.6,"low fat",0.039355947,"Frozen Foods",246.3802,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",7370.406,27,"Premium"
"FDB11",16,"low fat",0.060836524,"Starchy Foods",226.8404,"OUT035",2004,"Small","Tier 2","Supermarket Type1",6301.1312,22,"Premium"
"NCB06",17.6,"low fat",0.082316506,"Health and Hygiene",160.692,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1597.92,22,"High"
"FDA45",21.25,"low fat",0.155350299,"Snack Foods",178.237,"OUT035",2004,"Small","Tier 2","Supermarket Type1",529.311,22,"High"
"NCO26",7.235,"low fat",0.076841095,"Household",117.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1969.4364,22,"Medium"
"DRJ25",14.6,"low fat",0.151419185,"Soft Drinks",50.3692,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1034.6532,19,"Low"
"FDR28",13.85,"regular",0.026001976,"Frozen Foods",161.521,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1794.331,17,"High"
"FDI04",13.65,"regular",0.073209447,"Frozen Foods",197.6426,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2768.3964,17,"High"
"DRK12",9.5,"low fat",0.041683481,"Soft Drinks",31.29,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",898.83,41,"Low"
"FDX20",7.365,"low fat",0.042560252,"Fruits and Vegetables",226.172,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3169.208,29,"Premium"
"NCI18",18.35,"low fat",0.014081156,"Household",223.5746,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3589.9936,17,"Premium"
"FDB36",5.465,"regular",0.048518008,"Baking Goods",132.5626,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",262.3252,17,"Medium"
"FDN13",18.6,"low fat",0.152918384,"Breakfast",99.8358,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1910.1802,19,"Medium"
"DRD24",13.85,"low fat",0.030969274,"Soft Drinks",140.9154,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1701.7848,19,"High"
"FDQ28",14,"regular",0.060376776,"Frozen Foods",154.5656,"OUT013",1987,"High","Tier 3","Supermarket Type1",2471.4496,39,"High"
"FDM22",14,"regular",0.04192285,"Snack Foods",54.764,"OUT013",1987,"High","Tier 3","Supermarket Type1",1331.6,39,"Low"
"FDR07",21.35,"low fat",0.077367431,"Fruits and Vegetables",97.0094,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1808.9786,41,"Medium"
"FDV25",5.905,"low fat",0.045838211,"Canned",222.5456,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3315.684,17,"Premium"
"DRF49",7.27,"low fat",0.071077939,"Soft Drinks",114.2518,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2618.5914,29,"Medium"
"FDW51",6.155,"regular",0.094659871,"Meat",214.556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2769.728,29,"Premium"
"DRL01",19.5,"regular",0.077608838,"Soft Drinks",233.4958,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",5375.0034,19,"Premium"
"FDP25",15.2,"low fat",0.021327477,"Canned",216.8824,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2838.9712,19,"Premium"
"FDL50",12.15,"regular",0.042485444,"Canned",125.0046,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1743.0644,17,"Medium"
"NCB30",14.6,"low fat",0.025578526,"Household",198.8084,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5555.4352,41,"High"
"FDW11",12.6,"low fat",0.0489808,"Breads",61.9194,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",619.194,17,"Low"
"NCM43",14.5,"low fat",0.019471688,"Others",164.821,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2120.573,22,"High"
"FDK44",16.6,"low fat",0.122918852,"Fruits and Vegetables",173.0738,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",3823.0236,19,"High"
"FDM15",11.8,"regular",0.057373797,"Meat",151.4366,"OUT013",1987,"High","Tier 3","Supermarket Type1",1360.2294,39,"High"
"FDS31",13.1,"regular",0.044155597,"Fruits and Vegetables",178.8318,"OUT013",1987,"High","Tier 3","Supermarket Type1",3969.4996,39,"High"
"FDI32",17.7,"low fat",0.291865402,"Fruits and Vegetables",115.1834,"OUT010",1998,"Unknown","Tier 3","Grocery Store",345.5502,28,"Medium"
"FDR47",17.85,"low fat",0.087714807,"Breads",196.5794,"OUT010",1998,"Unknown","Tier 3","Grocery Store",585.2382,28,"High"
"FDB35",12.3,"regular",0.064750025,"Starchy Foods",92.6804,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1010.6844,24,"Medium"
"NCU05",11.8,"low fat",0.098312421,"Health and Hygiene",81.4618,"OUT010",1998,"Unknown","Tier 3","Grocery Store",161.1236,28,"Medium"
"DRY23",9.395,"regular",0.191013663,"Soft Drinks",42.1112,"OUT019",1985,"Small","Tier 1","Grocery Store",42.6112,41,"Low"
"FDO24",11.1,"low fat",0.176573035,"Baking Goods",157.4604,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",3010.7476,24,"High"
"FDQ28",14,"regular",0.060134441,"Frozen Foods",153.0656,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6024.1584,41,"High"
"FDV39",11.3,"low fat",0.007294652,"Meat",198.1426,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",988.713,24,"High"
"NCO17",10,"low fat",0.128478462,"Health and Hygiene",117.944,"OUT019",1985,"Small","Tier 1","Grocery Store",239.688,41,"Medium"
"FDU50",5.75,"regular",0.075107656,"Dairy",112.8176,"OUT013",1987,"High","Tier 3","Supermarket Type1",1374.2112,39,"Medium"
"FDT12",6.215,"regular",0.049381406,"Baking Goods",226.8062,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4739.8302,41,"Premium"
"FDK58",11.35,"regular",0.045165796,"Snack Foods",100.0016,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1012.016,17,"Medium"
